0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,1,2,2,1,2,0,0
1,3,2,0,1,0,1,0,1,1,0,0,0,0,0,1,5,4,4,4,2,4,0,0
2,1,1,0,1,0,0,0,0,0,,,1,0,0,,3,1,1,4,1,2,2,0
3,1,1,0,1,0,1,1,0,0,0,1,1,0,0,,3,3,5,5,4,1,0,0
4,2,1,0,1,0,1,1,0,1,0,0,0,0,0,,3,3,2,3,1,4,1,0
5,3,1,0,1,0,1,0,0,1,0,1,0,0,0,,5,2,1,5,4,4,2,3
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,1,4,2,1,0,0
7,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,5,2,1,4,2,1,2,0
8,0,2,0,1,0,1,1,1,1,0,0,0,0,0,,4,1,1,4,2,1,1,0
9,2,1,0,1,0,0,1,0,1,0,0,1,0,0,1,4,2,2,4,2,2,0,0
10,2,1,0,1,0,1,1,0,0,0,0,1,1,0,0,4,1,2,5,4,4,2,0
11,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,3,2,2,4,2,1,1,2
12,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,3,2,1,5,4,1,1,0
13,1,1,0,1,0,1,0,0,1,0,0,1,1,0,,3,1,4,4,2,4,1,2
14,3,1,0,1,0,1,0,1,1,0,0,0,0,0,1,5,4,2,4,4,2,1,0
15,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,4,2,2,2,1,1,1,3
16,2,1,0,1,0,1,1,1,1,1,1,1,0,0,1,3,2,1,4,4,1,0,0
17,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,2,2,4,4,2,1,1,0
18,1,2,0,1,0,1,0,0,1,1,1,0,0,0,,5,2,2,5,4,2,2,0
19,2,2,0,0,0,1,0,1,1,0,0,0,0,0,1,4,2,1,5,2,1,1,0
20,3,1,0,1,1,1,1,1,1,1,1,0,0,0,,4,2,2,4,2,2,0,0
21,2,2,0,1,0,1,0,0,1,1,0,0,0,0,1,3,3,1,3,3,1,1,0
22,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,4,2,2,4,1,2,2,1
23,3,0,1,0,0,1,1,1,1,0,0,0,0,0,0,5,5,4,4,4,4,1,2
24,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,2,2,2,1,2,1,2,0
25,1,2,0,1,0,1,0,0,1,0,0,0,0,0,,3,2,2,2,4,2,1,1
26,3,1,0,0,0,1,0,0,0,1,1,1,0,0,1,3,2,4,5,5,4,1,2
27,3,2,0,1,0,1,1,1,1,0,0,0,0,0,,4,2,2,2,2,2,1,0
28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,0
29,2,1,0,0,0,0,1,0,1,1,1,1,0,0,1,3,1,5,4,1,4,0,0
30,3,2,0,1,0,1,1,1,1,1,1,0,0,0,,2,1,2,4,2,1,0,2
31,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4,2,4,4,1,2,3,0
32,2,2,0,1,0,1,0,0,1,0,0,0,0,0,1,4,2,2,4,2,2,1,2
33,2,1,0,1,0,1,0,0,0,1,1,0,0,0,1,5,4,4,5,2,4,0,0
34,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,5,1,2,4,2,1,1,2
35,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3,5,5,5,2,5,0,0
36,2,2,0,1,0,1,0,0,1,0,1,1,0,0,1,4,2,1,4,2,1,2,0
37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,1,4,1,1,0,0
38,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,3,1,2,3,2,2,1,0
39,2,1,0,1,0,1,0,0,1,0,0,1,0,0,,5,4,2,5,4,2,0,0
40,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,4,4,1,5,2,1,0,0
41,2,1,0,1,0,1,0,1,1,0,0,0,1,1,1,4,4,4,4,4,2,1,0
42,0,0,0,,0,0,0,0,0,0,0,0,0,0,,3,1,4,3,1,5,1,0
43,2,1,1,1,0,1,1,0,1,1,1,0,0,0,1,4,2,4,1,4,4,0,1
44,,2,0,0,0,1,0,0,0,0,0,0,0,0,,3,1,1,3,1,1,1,0
45,2,1,1,1,0,1,0,0,1,0,0,0,0,0,,2,2,2,4,4,5,2,1
46,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,5,1,1,1,0
47,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,5,1,2,5,1,2,1,0
48,3,2,0,1,1,1,1,1,1,0,0,0,0,0,,5,4,1,5,5,1,1,0
49,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,4,2,5,4,1,1,3
50,2,2,0,1,0,1,0,0,0,0,0,0,0,1,,4,2,1,4,2,1,1,2
51,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,1,5,4,1,0,0
52,1,1,0,1,0,1,1,1,1,0,0,0,0,0,,5,2,4,4,2,2,1,0
53,1,2,0,0,0,0,0,0,0,0,0,0,0,1,,3,2,2,4,2,2,0,0
54,1,1,0,1,0,1,1,1,1,0,0,0,0,0,,3,4,2,4,4,4,0,1
55,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4,2,2,4,2,2,1,0
56,2,1,0,1,0,1,1,1,1,0,0,1,0,0,1,4,2,2,5,5,2,0,0
57,3,1,0,1,1,1,0,0,1,0,0,0,0,0,1,,2,4,4,4,1,1,0
58,2,2,0,1,0,1,0,0,0,0,1,1,0,0,1,4,2,2,4,2,2,1,2
59,3,1,0,1,0,1,1,1,1,0,1,0,0,0,1,2,5,5,4,1,4,1,2
